iter	Passed	Remaining
0	147	147224
1	147	73809
2	148	49316
3	148	37067
4	149	29718
5	149	24816
6	150	21318
7	150	18693
8	151	16651
9	151	15014
10	152	13677
11	152	12569
12	153	11627
13	153	10819
14	154	10118
15	154	9504
16	155	8962
17	155	8480
18	155	8049
19	156	7662
20	156	7311
21	157	6992
22	157	6701
23	158	6433
24	158	6188
25	159	5960
26	159	5750
27	160	5554
28	160	5373
29	160	5203
30	161	5045
31	161	4896
32	162	4756
33	162	4624
34	163	4503
35	163	4386
36	164	4276
37	164	4171
38	165	4071
39	165	3977
40	166	3887
41	166	3801
42	167	3722
43	167	3645
44	168	3570
45	168	3498
46	169	3429
47	169	3364
48	170	3301
49	170	3240
50	170	3181
51	171	3125
52	171	3071
53	172	3019
54	172	2969
55	173	2920
56	173	2874
57	174	2828
58	174	2785
59	175	2742
60	175	2701
61	175	2662
62	176	2623
63	176	2586
64	177	2553
65	178	2519
66	178	2486
67	179	2453
68	179	2421
69	179	2390
70	180	2361
71	180	2331
72	181	2303
73	181	2276
74	182	2251
75	183	2227
76	183	2201
77	184	2176
78	184	2152
79	185	2128
80	185	2107
81	186	2085
82	186	2061
83	187	2041
84	187	2022
85	188	2002
86	188	1983
87	189	1963
88	189	1944
89	190	1925
90	190	1907
91	191	1890
92	192	1873
93	192	1856
94	193	1839
95	193	1822
96	194	1806
97	194	1789
98	194	1774
99	195	1758
100	195	1743
101	196	1728
102	196	1715
103	197	1700
104	197	1687
105	198	1673
106	198	1659
107	199	1646
108	199	1633
109	200	1620
110	200	1608
111	201	1595
112	201	1583
113	202	1571
114	202	1560
115	203	1548
116	203	1536
117	204	1525
118	204	1514
119	205	1504
120	205	1494
121	206	1483
122	206	1472
123	207	1462
124	207	1452
125	208	1442
126	208	1432
127	208	1423
128	209	1413
129	209	1404
130	210	1394
131	210	1385
132	211	1376
133	211	1368
134	212	1359
135	212	1351
136	213	1342
137	213	1334
138	214	1326
139	214	1318
140	215	1310
141	215	1301
142	215	1293
143	216	1286
144	216	1278
145	217	1270
146	217	1263
147	218	1256
148	218	1249
149	219	1242
150	219	1235
151	220	1228
152	220	1221
153	221	1214
154	221	1207
155	221	1200
156	222	1194
157	222	1187
158	223	1181
159	223	1174
160	224	1167
161	224	1161
162	224	1155
163	225	1149
164	225	1143
165	226	1137
166	226	1131
167	227	1126
168	227	1120
169	228	1114
170	228	1109
171	229	1103
172	229	1097
173	230	1092
174	230	1087
175	231	1081
176	231	1076
177	231	1071
178	232	1066
179	232	1060
180	233	1055
181	233	1050
182	234	1045
183	234	1040
184	235	1035
185	235	1030
186	236	1026
187	236	1021
188	236	1016
189	237	1011
190	237	1007
191	238	1002
192	238	998
193	239	993
194	239	989
195	240	984
196	240	980
197	241	976
198	241	972
199	241	967
200	242	963
201	242	959
202	243	955
203	243	951
204	244	946
205	244	942
206	245	938
207	245	934
208	246	931
209	246	927
210	246	923
211	247	919
212	247	915
213	248	912
214	248	908
215	249	904
216	249	901
217	250	897
218	250	893
219	251	889
220	251	886
221	251	882
222	252	879
223	252	875
224	253	872
225	253	869
226	254	865
227	254	862
228	255	858
229	255	855
230	256	852
231	256	849
232	256	845
233	257	842
234	257	839
235	258	836
236	258	833
237	259	829
238	259	826
239	260	823
240	260	820
241	260	817
242	261	814
243	261	811
244	262	808
245	262	805
246	263	802
247	263	799
248	264	796
249	264	793
250	265	790
251	265	787
252	265	785
253	266	782
254	266	779
255	267	776
256	267	773
257	268	771
258	268	768
259	269	765
260	269	763
261	269	760
