iter	Passed	Remaining
0	147	146929
1	148	74046
2	150	50118
3	151	37702
4	151	30244
5	152	25266
6	153	21704
7	153	19037
8	154	16958
9	154	15294
10	154	13931
11	155	12797
12	155	11836
13	156	11014
14	156	10301
15	157	9676
16	157	9127
17	158	8637
18	158	8197
19	159	7803
20	160	7476
21	161	7163
22	162	6884
23	162	6622
24	163	6389
25	164	6157
26	164	5939
27	165	5737
28	165	5549
29	166	5374
30	166	5210
31	167	5055
32	167	4911
33	168	4774
34	168	4645
35	168	4524
36	169	4409
37	169	4300
38	170	4197
39	170	4099
40	171	4006
41	171	3918
42	172	3833
43	172	3753
44	173	3675
45	174	3610
46	174	3543
47	175	3483
48	176	3421
49	176	3361
50	177	3303
51	177	3245
52	178	3188
53	178	3134
54	179	3082
55	179	3031
56	180	2983
57	180	2939
58	181	2895
59	182	2853
60	182	2812
61	183	2775
62	184	2739
63	184	2702
64	185	2665
65	185	2630
66	186	2595
67	186	2561
68	187	2529
69	188	2505
70	189	2479
71	190	2450
72	190	2422
73	191	2394
74	191	2366
75	192	2340
76	193	2313
77	193	2287
78	194	2262
79	194	2237
80	195	2214
81	195	2190
82	195	2165
83	196	2142
84	197	2120
85	197	2099
86	198	2079
87	198	2058
88	199	2038
89	199	2019
90	200	1999
91	200	1980
92	201	1962
93	201	1944
94	202	1926
95	203	1919
96	205	1908
97	205	1893
98	206	1877
99	206	1861
100	207	1846
101	208	1831
102	208	1816
103	209	1802
104	209	1787
105	210	1772
106	210	1757
107	211	1743
108	211	1729
109	212	1715
110	212	1701
111	212	1688
112	213	1675
113	213	1662
114	214	1649
115	214	1636
116	215	1623
117	215	1611
118	216	1599
119	216	1587
120	216	1576
121	219	1582
122	220	1572
123	221	1562
124	221	1551
125	222	1541
126	222	1529
127	223	1519
128	223	1509
129	224	1499
130	224	1489
131	224	1479
132	225	1469
133	225	1460
134	226	1451
135	226	1441
136	227	1432
137	227	1423
138	228	1414
139	228	1405
140	229	1396
141	229	1387
142	230	1378
143	230	1370
144	230	1361
145	231	1353
146	232	1346
147	232	1340
148	233	1334
149	234	1327
150	234	1320
151	235	1312
152	235	1305
153	236	1297
154	236	1290
155	237	1283
156	237	1276
157	238	1268
158	238	1261
159	239	1255
160	239	1247
161	239	1240
162	240	1234
163	240	1228
164	241	1221
165	241	1215
166	242	1208
167	242	1202
168	243	1196
169	243	1190
170	244	1183
171	244	1177
172	245	1171
173	245	1165
174	246	1159
175	246	1153
176	247	1149
177	247	1144
178	248	1141
179	249	1136
180	250	1131
181	250	1126
182	251	1120
183	251	1115
184	251	1109
185	252	1104
186	252	1099
187	253	1094
188	253	1089
189	254	1084
190	254	1079
191	255	1074
192	255	1069
193	256	1064
194	256	1059
195	257	1054
196	257	1050
197	258	1045
198	258	1040
199	258	1035
200	259	1031
201	259	1026
202	260	1022
203	260	1017
204	261	1014
205	262	1010
206	263	1008
207	263	1004
208	264	1000
209	264	996
210	265	992
211	266	988
212	266	984
213	266	980
214	267	976
215	267	972
216	268	969
217	269	965
218	269	961
219	270	957
220	270	954
221	271	951
222	271	947
223	272	943
224	272	939
225	273	936
226	273	932
227	274	929
228	274	925
229	275	921
230	276	918
231	277	919
232	278	916
233	279	913
234	279	909
235	279	906
236	280	902
237	280	899
238	281	895
239	281	892
240	282	889
241	282	886
242	283	882
243	283	879
244	284	876
245	284	872
246	285	869
247	285	866
248	286	863
249	286	859
250	287	856
251	287	853
252	287	850
253	288	846
254	288	843
255	289	840
256	290	839
257	292	840
258	292	838
259	294	837
260	294	835
261	295	832
262	295	829
263	296	826
264	296	823
265	297	820
266	297	817
267	298	814
268	298	812
269	299	809
270	299	806
271	300	803
272	300	800
273	301	797
274	301	795
275	302	792
276	302	789
277	302	786
278	303	784
279	303	781
280	304	778
281	304	776
282	307	779
283	308	777
284	309	775
285	310	774
286	310	771
287	311	769
288	311	766
289	312	764
290	312	761
291	313	759
292	313	756
293	314	754
294	314	751
295	315	749
296	315	746
297	315	744
298	316	741
299	316	739
300	317	737
301	317	734
302	318	732
303	318	730
304	319	727
305	319	725
306	322	726
307	323	726
308	323	724
309	324	722
310	325	720
311	325	717
312	326	715
313	326	713
314	327	711
315	327	709
316	328	706
317	328	704
318	329	702
319	329	700
320	330	698
321	330	696
322	331	694
323	331	691
324	332	689
325	332	687
326	333	685
327	333	683
328	333	681
329	334	678
330	336	679
331	337	678
332	337	676
333	338	674
334	338	672
335	339	670
336	339	668
337	340	666
338	340	664
339	341	662
340	341	659
341	341	657
342	342	655
343	342	653
344	343	651
345	343	649
346	344	647
347	344	645
348	345	643
349	345	641
350	345	639
351	346	637
352	346	635
353	347	633
354	347	631
355	348	630
356	351	632
357	352	631
358	353	630
359	353	628
360	354	627
361	355	625
362	355	624
363	356	622
364	356	620
365	357	618
366	357	617
367	358	615
368	358	613
369	359	611
370	359	609
371	360	608
372	360	606
373	361	604
374	361	602
375	362	600
376	362	599
377	363	598
378	364	597
379	365	596
380	366	594
381	366	593
382	367	591
383	367	589
384	368	588
385	368	586
386	369	584
387	369	582
388	370	581
389	370	579
390	371	578
391	371	576
392	372	574
393	372	573
394	373	571
395	373	570
396	374	568
397	375	567
398	376	566
399	377	565
400	378	565
401	380	566
402	382	566
403	383	565
404	384	564
405	385	563
406	385	562
407	386	561
408	387	559
409	388	558
410	389	557
411	389	556
412	390	555
413	391	553
414	392	552
415	393	551
416	394	551
417	395	550
418	395	548
419	396	548
420	397	547
421	398	545
422	399	544
423	400	543
424	400	542
425	401	540
426	402	539
427	402	538
428	403	537
429	404	536
430	405	535
431	406	534
432	407	534
433	409	534
434	411	534
435	412	533
436	413	532
437	413	531
438	414	530
439	415	529
440	416	528
441	417	526
442	418	526
443	419	525
444	420	524
445	421	523
446	422	522
447	424	522
448	424	521
449	425	520
450	426	519
451	427	517
452	428	517
453	429	516
454	430	515
455	431	514
456	432	513
457	433	512
458	434	511
459	435	510
460	436	510
461	437	509
462	438	508
463	439	507
464	439	506
465	440	505
466	442	504
467	443	503
468	443	502
469	445	501
470	446	501
471	447	500
472	449	500
473	451	501
474	452	500
475	453	499
476	454	497
477	454	496
478	456	496
479	456	494
480	457	493
481	458	492
482	459	491
483	459	490
484	461	490
485	465	492
486	468	493
487	470	493
488	471	492
489	472	491
490	474	491
491	476	491
492	477	490
493	478	490
494	480	490
495	481	489
496	482	488
497	483	487
498	483	485
499	484	484
500	485	483
501	486	482
502	486	481
503	487	479
504	488	479
505	490	478
506	491	478
507	493	477
508	493	476
509	494	475
510	495	474
511	496	473
512	497	472
513	498	471
514	499	470
515	500	469
516	501	468
517	503	468
518	505	468
519	506	467
520	508	467
521	509	466
522	510	465
523	511	464
524	512	464
525	514	463
526	515	462
527	516	462
528	518	461
529	520	461
530	521	460
531	522	459
532	523	458
533	524	457
534	525	456
535	526	456
536	528	455
537	530	455
538	532	455
539	533	454
540	534	453
541	535	452
542	535	450
543	537	450
544	537	449
545	538	448
546	539	447
547	540	446
548	541	445
549	542	444
550	543	443
551	546	443
552	549	443
553	549	442
554	550	441
555	559	447
556	561	446
557	562	445
558	563	444
559	564	443
560	564	442
561	565	440
562	566	439
563	567	438
564	567	437
565	569	436
566	570	435
567	571	434
568	572	433
569	573	432
570	574	431
571	576	431
572	577	430
573	578	429
574	579	428
575	580	427
576	582	426
577	583	425
578	584	425
579	585	423
580	586	422
581	587	422
582	588	420
583	589	420
584	592	420
585	594	419
586	596	419
587	597	418
588	598	417
589	600	417
590	602	416
591	603	415
592	604	414
593	607	415
594	608	413
595	608	412
596	609	411
597	610	410
598	611	409
599	612	408
600	613	407
601	613	405
602	614	404
603	615	403
604	616	402
605	617	401
606	619	401
607	620	400
608	621	398
609	622	397
610	622	396
611	623	395
612	624	394
613	625	392
614	625	391
615	626	390
616	627	389
617	627	388
618	628	387
619	629	385
620	630	384
621	634	385
622	637	385
623	640	386
624	642	385
625	642	384
626	643	382
627	645	382
628	646	381
629	646	379
630	648	379
631	649	378
632	651	377
633	652	376
634	653	375
635	654	374
636	655	373
637	655	372
638	656	370
639	657	369
640	658	368
641	658	367
642	659	366
643	660	365
644	661	364
645	664	364
646	665	363
647	666	362
648	668	361
649	669	360
650	670	359
651	671	358
652	674	358
653	675	357
654	678	357
655	679	356
656	680	355
657	681	354
658	682	352
659	682	351
660	683	350
661	684	349
662	685	348
663	686	347
664	687	346
665	688	345
666	689	344
667	690	343
668	691	342
669	694	342
670	695	341
671	696	340
672	697	339
673	698	337
674	699	336
675	707	338
676	709	338
677	710	337
678	711	336
679	712	335
680	713	334
681	713	332
682	715	331
683	716	330
684	717	329
685	718	329
686	721	328
687	723	328
688	725	327
689	726	326
690	727	325
691	727	323
692	734	325
693	740	326
694	741	325
695	742	324
696	742	322
697	746	323
698	747	321
699	748	320
700	749	319
701	749	318
702	750	317
703	751	315
704	751	314
705	752	313
706	753	312
707	754	310
708	754	309
709	755	308
710	756	307
711	756	306
712	757	305
713	761	305
714	763	304
715	766	303
716	767	302
717	769	302
718	771	301
719	773	300
720	776	300
721	779	300
722	781	299
723	782	298
724	786	298
725	787	297
726	788	295
727	789	294
728	792	294
729	793	293
730	794	292
731	795	291
732	795	289
733	796	288
734	797	287
735	798	286
736	799	285
737	801	284
738	803	283
739	804	282
740	805	281
741	808	281
742	809	280
743	810	278
744	811	277
745	811	276
746	812	275
747	821	276
748	823	276
749	824	274
750	827	274
751	830	273
752	831	272
753	832	271
754	833	270
755	834	269
756	834	267
757	835	266
758	836	265
759	836	264
760	837	262
761	837	261
762	838	260
763	839	259
764	840	258
765	841	256
766	842	256
767	844	255
768	845	254
769	846	252
770	846	251
771	847	250
772	847	249
773	848	247
774	849	246
775	849	245
776	850	244
777	850	242
778	851	241
779	852	240
780	852	239
781	853	237
782	858	237
783	859	236
784	860	235
785	861	234
786	861	233
787	862	232
788	863	230
